股票编号,日期,流动资产,速动资产,流动负债
00021,2016-12,51900.00000000001,53600.0,64100.0
00021,2016-06,53300.0,54900.0,53400.0
00021,2015-12,49100.0,50100.0,46800.0
00021,2015-06,43700.0,44500.0,35900.0
00022,2018-09,9.86,3501.41,6564.25
00022,2018-03,12.1,2338.29,5374.38
00022,2017-09,10.37,2414.05,6309.75
00022,2017-03,5.95,3206.7,8014.61
00022,2016-09,11.11,3596.27,8316.02
00022,2016-03,11.67,2069.54,8223.68
00022,2015-09,10.59,2575.95,9597.81
00022,2015-03,11.49,2774.45,13000.0
00024,2018-12,7537.42,133300.0,81600.0
00024,2018-06,685.27,130600.0,46100.0
00024,2017-12,2941.57,119700.0,51500.0
00024,2017-06,9909.13,109900.0,54100.0
00024,2016-12,7296.52,101199.99999999999,64300.0
00024,2016-06,3030.83,101800.0,57000.0
00024,2015-12,4863.4,205100.00000000003,116700.0
00024,2015-06,4384.91,202300.0,111600.0
00025,2018-09,239500.0,533300.0,347000.0
00025,2018-03,193000.0,496300.0,303600.0
00025,2017-09,195600.0,552900.0,369300.0
00025,2017-03,105399.99999999999,563900.0,343800.0
00025,2016-09,144800.0,496300.0,304300.0
00025,2016-03,142600.0,457000.0,314100.0
00025,2015-09,139200.0,495300.0,334200.0
00025,2015-03,65199.99999999999,418500.0,286800.0
00027,2018-12,16600.0,1604600.0,2080000.0
00027,2018-06,15400.0,959100.0,1933800.0
00027,2017-12,14300.0,1680300.0,2259900.0
00027,2017-06,12500.0,1836600.0,1803700.0
00027,2016-12,14200.0,1970800.0000000002,1638899.9999999998
00027,2016-06,14000.0,1143600.0,1003300.0
00027,2015-12,12600.0,938199.9999999999,1025800.0
00027,2015-06,12200.0,1034200.0,1344199.9999999998
00028,2018-12,507500.0,1066900.0,662500.0
00028,2018-06,354300.0,956600.0,437400.0
00028,2017-12,444799.99999999994,1136500.0,509600.0
00028,2017-06,495600.0,1193300.0,532300.0
00028,2016-12,487400.0,1241200.0,612900.0
00028,2016-06,684300.0000000001,1246100.0,782700.0
00028,2015-12,546800.0,1090800.0,775000.0
00028,2015-06,519300.0,928400.0,690500.0
00029,2018-12,1358.9,31200.0,13500.0
00029,2018-06,1365.15,28900.0,12600.0
00029,2017-12,1366.46,29100.0,14700.0
00029,2017-06,1360.46,27300.0,14200.0
00029,2016-12,1355.54,26600.0,26900.0
00029,2016-06,1362.94,25099.999999999996,26300.0
00029,2015-12,1366.17,24700.000000000004,14400.0
00029,2015-06,1375.34,23100.0,13600.000000000002
00031,2018-12,31900.0,245400.0,109400.0
00031,2018-06,34000.0,221200.0,117899.99999999999
00031,2017-12,29100.0,228000.0,188800.0
00031,2017-06,29100.0,217300.0,193000.0
00031,2016-12,23400.0,207700.0,147000.0
00031,2016-06,24100.0,250799.99999999997,241300.0
00031,2015-12,20400.0,250799.99999999997,209000.0
00031,2015-06,24000.0,235700.0,85700.0
00032,2018-12,83.24,327400.0,64500.0
00032,2018-06,73.6,309800.0,56800.0
