00008,2015-12,2015-09,3.7882,3.8952,3.2705,3.3292,-0.53,9.49,2015-12,3.3962,3.9832,3.3459,3.8155,0.48,6.36,0.2562,10.1567,1687200.0,1622400.0,1465500.0,1.15,1.11
00008,2016-06,2016-03,3.7988,4.2516,3.4549,4.2097,0.38,7.45,2016-06,4.2013,4.5673,4.1845,4.5066,0.29,6.68,0.0974,9.1989,1751100.0000000002,1651700.0000000002,1391500.0,1.26,1.19
00008,2016-12,2016-09,4.5066,5.0006,4.1844,4.1932,-0.3,9.51,2016-12,4.2284,4.3077,3.6558,3.6998,-0.5,8.12,0.2396,9.9833,1835000.0,1750600.0,1259800.0,1.46,1.39
00008,2017-06,2017-03,3.7087,4.3782,3.691,4.2078,0.54,13.25,2017-06,4.2262,4.2813,3.9781,4.0792,-0.16,6.9,0.1457,13.4819,2386000.0,2292500.0,1234300.0,1.93,1.93
00008,2017-12,2017-09,4.0884,4.1894,3.8972,3.9627,-0.14,6.41,2017-12,3.9908,4.3468,3.9346,4.2531,0.3,6.44,0.2437,12.4157,2360600.0,2284400.0,1238400.0,1.73,1.67
00008,2018-06,2018-03,4.2438,4.5248,4.0377,4.2531,0.0,7.75,2018-06,4.2157,4.6513,4.2157,4.3282,0.09,6.71,0.0202,5.5813,1936399.9999999998,1835799.9999999998,1930800.0000000002,1.0,0.95
00008,2018-12,2018-09,4.3282,4.57,4.07,4.56,0.23,4.99,2018-12,4.55,4.75,4.19,4.51,-0.05,7.6,0.1019,7.8507,1881500.0,1701900.0,1278600.0,1.47,1.33
00009,2015-06,2015-03,0.65,0.7,0.5,0.51,-0.13,2.08,2015-06,0.53,2.95,0.495,2.08,1.57,90.63,-0.0159,-263.7771,118600.0,30200.0,32400.000000000004,3.66,0.93
00009,2015-12,2015-09,2.05,2.2,0.65,0.76,-1.32,16.96,2015-12,0.79,1.6,0.76,1.33,0.57,34.98,-0.3547,-2635.0749,100700.0,10700.0,39000.0,2.58,0.27
00009,2016-06,2016-03,1.32,1.33,0.91,0.99,-0.34,11.9,2016-06,0.99,1.01,0.24,0.435,-0.56,86.14,-0.0114,-221.6393,100600.0,4600.0,42600.0,2.36,0.11
00009,2016-12,2016-09,0.445,0.465,0.228,0.375,-0.02,55.9,2016-12,0.39,0.58,0.325,0.475,0.14,62.96,-0.1301,-1426.2767,99700.0,7100.0,53000.0,1.88,0.13
00009,2017-06,2017-03,0.475,0.48,0.295,0.355,-0.11,23.94,2017-06,0.355,0.39,0.29,0.29,-0.15,30.51,-0.0775,-1542.7054,95500.0,9199.999999999985,72200.0,1.32,0.13
00009,2017-12,2017-09,0.29,0.32,0.25,0.27,0.02,12.99,2017-12,0.265,0.31,0.235,0.26,0.02,11.69,-0.1225,-591.1541,95800.0,11600.0,56900.00000000001,1.68,0.2
00009,2018-06,2018-03,0.26,0.39,0.26,0.285,0.01,16.9,2018-06,0.285,0.375,0.28,0.3,-0.02,10.85,-0.0179,-251.7132,89100.0,15700.0,59900.0,1.49,0.26
